Date,Price,Open,High,Low,Vol.,Change %
2018-03-26 00:00:00,265.11,262.13,265.43,259.41,141.96M,2.74%
2018-03-23 00:00:00,258.05,264.17,265.02,257.83,183.53M,-2.13%
2018-03-22 00:00:00,263.67,267.91,268.87,263.36,148.79M,-2.50%
2018-03-21 00:00:00,270.43,270.9,273.27,270.19,78.71M,-0.19%
2018-03-20 00:00:00,270.95,270.94,271.67,270.18,59.76M,0.17%
2018-03-19 00:00:00,270.49,273.35,274.4,268.62,109.21M,-1.35%
2018-03-16 00:00:00,274.2,274.5,275.39,274.14,100.34M,-0.29%
2018-03-15 00:00:00,275.0,275.88,276.61,274.43,83.43M,-0.11%
2018-03-14 00:00:00,275.3,277.81,278.02,274.67,105.90M,-0.51%
2018-03-13 00:00:00,276.72,279.84,280.41,276.03,91.97M,-0.65%
2018-03-12 00:00:00,278.52,279.2,279.91,278.08,71.92M,-0.13%
2018-03-09 00:00:00,278.87,275.7,278.87,275.34,113.63M,1.74%
2018-03-08 00:00:00,274.1,273.55,274.24,272.42,66.90M,0.48%
2018-03-07 00:00:00,272.78,270.42,273.18,270.2,87.06M,-0.04%
2018-03-06 00:00:00,272.88,273.3,273.39,271.18,79.21M,0.25%
2018-03-05 00:00:00,272.19,267.73,272.89,267.61,97.31M,1.16%
2018-03-02 00:00:00,269.08,265.8,269.72,264.82,139.08M,0.52%
2018-03-01 00:00:00,267.7,271.41,273.17,266.0,176.86M,-1.45%
2018-02-28 00:00:00,271.65,275.68,276.19,271.29,121.91M,-1.01%
2018-02-27 00:00:00,274.43,278.11,278.92,274.36,99.10M,-1.25%
2018-02-26 00:00:00,277.9,275.93,278.01,275.26,86.49M,1.16%
2018-02-23 00:00:00,274.71,271.79,274.71,271.25,92.77M,1.59%
2018-02-22 00:00:00,270.4,271.1,273.05,269.64,110.51M,0.13%
2018-02-21 00:00:00,270.05,271.9,274.72,269.94,98.88M,-0.50%
2018-02-20 00:00:00,271.4,272.03,273.67,270.5,86.37M,-0.63%
2018-02-16 00:00:00,273.11,272.32,275.32,272.27,160.42M,0.03%
2018-02-15 00:00:00,273.03,271.57,273.04,268.77,111.20M,1.28%
2018-02-14 00:00:00,269.59,264.31,270.0,264.3,120.74M,1.35%
2018-02-13 00:00:00,266.0,263.97,266.62,263.31,81.22M,0.25%
2018-02-12 00:00:00,265.34,263.83,267.01,261.66,143.74M,1.47%
2018-02-09 00:00:00,261.5,260.8,263.61,252.92,283.57M,1.50%
2018-02-08 00:00:00,257.63,268.01,268.17,257.59,246.45M,-3.75%
2018-02-07 00:00:00,267.67,268.5,272.36,267.58,167.38M,-0.54%
2018-02-06 00:00:00,269.13,259.94,269.7,258.7,355.03M,1.97%
2018-02-05 00:00:00,263.93,273.45,275.85,263.31,294.68M,-4.18%
2018-02-02 00:00:00,275.45,280.08,280.23,275.41,173.17M,-2.18%
2018-02-01 00:00:00,281.58,281.07,283.06,280.68,90.10M,-0.11%
2018-01-31 00:00:00,281.9,282.73,283.3,280.68,118.95M,0.05%
2018-01-30 00:00:00,281.76,282.6,284.74,281.22,131.80M,-1.03%
2018-01-29 00:00:00,284.68,285.93,286.43,284.5,90.12M,-0.66%
2018-01-26 00:00:00,286.58,284.25,286.63,283.96,107.74M,1.16%
2018-01-25 00:00:00,283.3,284.16,284.27,282.4,84.59M,0.04%
2018-01-24 00:00:00,283.18,284.02,284.7,281.84,134.82M,-0.04%
2018-01-23 00:00:00,283.29,282.74,283.62,282.37,97.08M,0.21%
2018-01-22 00:00:00,282.69,280.17,282.69,280.11,91.32M,0.81%
2018-01-19 00:00:00,280.41,279.8,280.41,279.14,140.92M,0.45%
2018-01-18 00:00:00,279.14,279.48,279.96,278.58,100.73M,-0.17%
2018-01-17 00:00:00,279.61,278.03,280.05,276.97,113.26M,0.95%
2018-01-16 00:00:00,276.97,279.35,280.09,276.18,106.56M,-0.34%
2018-01-12 00:00:00,277.92,276.42,278.11,276.08,90.82M,0.65%
2018-01-11 00:00:00,276.12,274.75,276.12,274.56,62.36M,0.73%
2018-01-10 00:00:00,274.12,273.68,274.42,272.92,69.57M,-0.15%
2018-01-09 00:00:00,274.54,274.4,275.25,274.08,57.25M,0.23%
2018-01-08 00:00:00,273.92,273.31,274.1,272.98,57.32M,0.18%
2018-01-05 00:00:00,273.42,272.51,273.56,271.95,83.52M,0.67%
2018-01-04 00:00:00,271.61,271.2,272.16,270.54,80.64M,0.42%
2018-01-03 00:00:00,270.47,268.96,270.64,268.96,90.07M,0.63%
2018-01-02 00:00:00,268.77,267.84,268.81,267.4,86.66M,0.72%
2017-12-29 00:00:00,266.86,268.53,268.55,266.64,96.01M,-0.38%
2017-12-28 00:00:00,267.87,267.89,267.92,267.45,45.12M,0.21%
2017-12-27 00:00:00,267.32,267.38,267.73,267.01,57.75M,0.05%
2017-12-26 00:00:00,267.19,267.05,267.44,266.88,45.24M,-0.12%
2017-12-22 00:00:00,267.51,267.6,267.63,266.9,78.72M,-0.03%
2017-12-21 00:00:00,267.58,267.74,268.38,267.3,67.03M,0.21%
2017-12-20 00:00:00,267.03,268.27,268.33,266.69,76.75M,-0.05%
2017-12-19 00:00:00,267.17,268.48,268.53,267.09,82.38M,-0.38%
2017-12-18 00:00:00,268.2,268.1,268.6,267.98,83.65M,0.63%
2017-12-15 00:00:00,266.51,265.45,267.04,265.39,144.61M,0.32%
2017-12-14 00:00:00,265.66,267.09,267.22,265.6,100.67M,-0.41%
2017-12-13 00:00:00,266.75,267.06,267.56,266.65,102.91M,-0.01%
2017-12-12 00:00:00,266.78,266.57,267.32,266.35,85.20M,0.18%
2017-12-11 00:00:00,266.31,265.58,266.38,265.48,83.08M,0.30%
2017-12-08 00:00:00,265.51,264.99,265.52,264.03,76.56M,0.55%
2017-12-07 00:00:00,264.07,263.09,264.43,262.94,77.22M,0.32%
2017-12-06 00:00:00,263.24,262.87,263.73,262.71,75.90M,0.02%
2017-12-05 00:00:00,263.19,264.43,265.15,263.04,77.99M,-0.36%
2017-12-04 00:00:00,264.14,266.31,266.8,264.08,94.04M,-0.12%
2017-12-01 00:00:00,264.46,264.76,265.31,260.76,164.39M,-0.21%
2017-11-30 00:00:00,265.01,263.76,266.05,263.67,127.89M,0.88%
2017-11-29 00:00:00,262.71,263.02,263.63,262.2,77.51M,-0.06%
2017-11-28 00:00:00,262.87,260.76,262.9,260.65,98.97M,1.01%
2017-11-27 00:00:00,260.23,260.41,260.75,260.0,52.27M,-0.05%
2017-11-24 00:00:00,260.36,260.32,260.48,260.16,27.86M,0.23%
2017-11-22 00:00:00,259.76,260.0,260.15,259.57,45.03M,-0.09%
2017-11-21 00:00:00,259.99,259.18,260.2,258.26,69.18M,0.65%
2017-11-20 00:00:00,258.3,258.14,258.52,257.86,48.08M,0.17%
2017-11-17 00:00:00,257.86,258.22,258.59,257.77,75.76M,-0.29%
2017-11-16 00:00:00,258.62,257.52,259.04,257.47,67.78M,0.85%
2017-11-15 00:00:00,256.44,256.62,257.22,255.63,80.81M,-0.50%
2017-11-14 00:00:00,257.73,257.41,257.85,256.52,61.32M,-0.23%
2017-11-13 00:00:00,258.33,257.31,258.59,257.27,50.23M,0.09%
2017-11-10 00:00:00,258.09,257.73,258.29,257.37,59.98M,-0.03%
2017-11-09 00:00:00,258.17,257.73,258.39,256.36,95.09M,-0.36%
2017-11-08 00:00:00,259.11,258.47,259.22,258.15,50.47M,0.17%
2017-11-07 00:00:00,258.67,258.97,259.35,258.09,57.50M,-0.07%
2017-11-06 00:00:00,258.85,258.3,259.0,258.22,49.65M,0.15%
2017-11-03 00:00:00,258.45,257.77,258.5,257.3,59.59M,0.33%
2017-11-02 00:00:00,257.59,257.41,257.75,256.19,56.45M,0.04%
2017-11-01 00:00:00,257.49,258.04,258.43,257.07,54.20M,0.13%
